Id,species,location,latitude,longitude,altitude,geometry,Annual mean temperature,Mean diurnal temperature range,Isothermality,Temperature seasonality (standard deviation),Maximum temperature of warmest month,Minimum temperature of coldest month,Temperature annual range,Mean temperature of wettest quarter,Mean temperature of driest quarter,Mean temperature of warmest quarter,Mean temperature of coldest quarter,Annual precipitation,Precipitation of wettest month,Precipitation of driest month,Precipitation seasonality (coefficient of variation),Precipitation of wettest quarter,Precipitation of driest quarter,Precipitation of warmest quarter,Precipitation of coldest quarter,srad,vapr,wind,Altitude,Aspect (North-South),Aspect (East-West),Slope
29,Lser,Penitentes,-31.158361111111113,-68.16744444444444,2582,"c(-68.1674444444444, -31.1583611111111)",17.868499755859375,16.26099967956543,48.00153350830078,650.04156494140625,34.02000045776367,0.14400000870227814,33.875999450683594,25.470666885375977,9.561333656311035,25.470666885375977,9.561333656311035,251,58,1,92.847320556640625,148,6,148,6,20096.666015625,1.0091809034347534,3.088571310043335,705.5999755859375,0.4934525787830353,0.09885776042938232,0.9018207788467407
30,Lser,Puente del Inca,-31.174916666666668,-68.0895,2726,"c(-68.0895, -31.1749166666667)",16.783666610717773,15.006000518798828,46.515811920166016,623.510986328125,32.15599822998047,-0.10400000214576721,32.2599983215332,24.115999221801758,9.388667106628418,24.115999221801758,8.845333099365234,278,65,1,92.91028594970703,164,8,164,8,18337,0.9313428401947021,3.32104754447937,976.32000732421875,0.6267082095146179,0.1407303512096405,3.7417261600494385
31,Lser,School 1373 Bernardo Moneagudo,-31.46258333333333,-67.35161111111111,582,"c(-67.3516111111111, -31.4625833333333)",19.187334060668945,14.393333435058594,45.27914047241211,630.62030029296875,34.220001220703125,2.431999921798706,31.788002014160156,26.474000930786133,11.595333099365234,26.474000930786133,11.045999526977539,359,84,2,94.03303527832031,217,12,217,12,17655.083984375,1.096828579902649,3.5836191177368164,598.5999755859375,0.43590793013572693,0.7058799266815186,0.7490546107292175
32,Lser,Santa Rosa,-30.253888888888888,-67.67652777777778,566,"c(-67.6765277777778, -30.2538888888889)",16.033666610717773,16.386667251586914,51.407535552978516,571.50201416015625,31.323999404907227,-0.5519999861717224,31.875999450683594,21.68466567993164,9.21733283996582,22.763999938964844,8.798666954040527,268,65,1,96.51438903808594,162,8,162,8,17755.583984375,0.9358381032943726,3.499333381652832,1228.6400146484375,0.3928714692592621,0.7897593975067139,1.205945611000061
33,Lser,dir. Caucete,-30.280972222222225,-67.69691666666667,568,"c(-67.6969166666667, -30.2809722222222)",16.033666610717773,16.386667251586914,51.407535552978516,571.50201416015625,31.323999404907227,-0.5519999861717224,31.875999450683594,21.68466567993164,9.21733283996582,22.763999938964844,8.798666954040527,268,65,1,96.51438903808594,162,8,162,8,17755.583984375,0.9358381032943726,3.499333381652832,1228.6400146484375,0.3928714692592621,0.7897593975067139,1.205945611000061
34,Lser,Caucete,-30.339694444444447,-67.71627777777778,571,"c(-67.7162777777778, -30.3396944444444)",14.868332862854004,14.841333389282227,49.20866394042969,536.9630126953125,29.31999969482422,-0.8399999737739563,30.15999984741211,20.236665725708008,8.085332870483398,21.222665786743164,8.085332870483398,260,60,2,92.7583999633789,154,9,153,9,18055.5,0.8638190627098083,3.6460952758789063,1436.9599609375,0.6699959635734558,0.8016704320907593,6.027111530303955
35,Lser,road la Plata to Villa Dominguito,-30.40677777777778,-67.69697222222223,574,"c(-67.6969722222222, -30.4067777777778)",15.7611665725708,15.882999420166016,50.64086151123047,562.09521484375,30.76799964904785,-0.5960000157356262,31.36400032043457,22.35733413696289,9.064666748046875,22.35733413696289,8.619999885559082,264,61,2,93.50813293457031,157,9,157,9,18246,0.9250571131706238,3.559523820877075,1232.800048828125,0.546911895275116,0.903476357460022,4.058398723602295
36,Lser,Villa del Salvador,-30.540861111111113,-67.5906111111111,608,"c(-67.5906111111111, -30.5408611111111)",16.96649932861328,16.48900032043457,50.61080551147461,591.83367919921875,32.507999420166016,-0.07200000435113907,32.57999801635742,23.850666046142578,9.859999656677246,23.850666046142578,9.399333000183105,289,68,2,94.47225189208984,173,9,173,9,17984.916015625,1.004266619682312,3.5072381496429443,983.55999755859375,0.5195327997207642,0.855230987071991,0.7040706276893616
37,Lser,dir. La Caňada,-30.55911111111111,-67.54033333333334,608,"c(-67.5403333333333, -30.5591111111111)",17.34433364868164,16.528667449951172,50.521663665771484,595.23541259765625,32.939998626708984,0.2240000069141388,32.715999603271484,24.25066566467285,9.717333793640137,24.25066566467285,9.717333793640137,291,67,2,93.432464599609375,173,9,173,9,18522.416015625,1.0330095291137695,3.530380964279175,902.96002197265625,0.3306358754634857,0.8155974745750427,0.5627890229225159
38,Lser,Villa General San Martin,-30.65352777777778,-67.481,629,"c(-67.481, -30.6535277777778)",17.074167251586914,14.937666893005371,47.938594818115234,586.163818359375,31.884000778198242,0.7239999771118164,31.15999984741211,23.881332397460938,9.559332847595215,23.881332397460938,9.559332847595215,301,69,2,93.38875579833984,179,9,179,9,18366.083984375,1.0053523778915405,3.633523941040039,958.52001953125,0.6484021544456482,0.8117161393165588,4.370494365692139
39,Lser,Ugarteche,-32.73122222222222,-67.09969444444444,911,"c(-67.0996944444444, -32.7312222222222)",19.117332458496094,13.875333786010742,45.67860794067383,598.55328369140625,33.47999954223633,3.1040000915527344,30.375999450683594,26.18199920654297,11.455999374389648,26.18199920654297,11.455999374389648,338,65,5,73.8657455444336,175,20,175,20,17965.333984375,1.0656380653381348,3.1919047832489014,520.44000244140625,0.4264845550060272,0.07351545244455338,0.6081904172897339
40,Lvir,Anchoris II.,-32.58763888888889,-67.05194444444444,900,"c(-67.0519444444444, -32.5876388888889)",18.586166381835938,12.5910005569458,43.567474365234375,575.6805419921875,32.2760009765625,3.375999927520752,28.900001525878906,25.393333435058594,11.218667030334473,25.393333435058594,11.218667030334473,344,66,5,74.53705596923828,178,19,178,19,18639.166015625,1.0169999599456787,3.4140000343322754,684.55999755859375,0.3936803638935089,0.1100662350654602,2.593273401260376
41,Lser,Zapata I.,-32.66444444444444,-67.01438888888889,866,"c(-67.0143888888889, -32.6644444444444)",18.017166137695313,12.818999290466309,44.553733825683594,568.57470703125,31.663999557495117,2.8919999599456787,28.77199935913086,24.75933265686035,10.748666763305664,24.75933265686035,10.748666763305664,354,68,5,74.35272979736328,183,20,183,20,18333.583984375,0.9773809909820557,3.5139999389648438,800.91998291015625,0.17787158489227295,0.463913232088089,2.7031314373016357
42,Lser,Zapata II.,-32.48408333333333,-67.00127777777777,858,"c(-67.0012777777778, -32.4840833333333)",18.647499084472656,13.717000007629395,46.017845153808594,575.71087646484375,32.79600143432617,2.98799991607666,29.808002471923828,25.444000244140625,11.279333114624023,25.444000244140625,11.279333114624023,365,71,6,75.0970230102539,191,21,191,21,18197,1.0128381252288818,3.530952215194702,725.280029296875,0.4922250807285309,0.22303804755210876,2.5784876346588135
43,Lser,Tunuyán,-32.409638888888885,-68.98122222222223,887,"c(-68.9812222222222, -32.4096388888889)",10.446833610534668,13.256999969482422,46.269020080566406,511.5241394042969,24.31999969482422,-4.331999778747559,28.652000427246094,15.822667121887207,4.742000102996826,16.724666595458984,4.086667060852051,266,37,8,39.2968864440918,101,35,97,38,17082.416015625,0.5947428345680237,3.720952272415161,1968.3199462890625,0.47514867782592773,0.7677140235900879,7.820354461669922
44,Lser,past Tunuyán,-32.347944444444444,-68.96841666666667,907,"c(-68.9684166666667, -32.3479444444444)",10.05483341217041,13.126333236694336,46.27814483642578,507.587890625,23.79199981689453,-4.572000026702881,28.36400032043457,15.395333290100098,4.405333518981934,16.286666870117188,3.740000009536743,253,36,8,40.43134689331055,97,33,94,36,17241.166015625,0.5790286064147949,3.7992382049560547,2035.6400146484375,0.37969571352005005,0.6615166664123535,6.971745491027832
45,Lser,San Carlos,-32.21238888888889,-68.93166666666667,967,"c(-68.9316666666667, -32.2123888888889)",12.543999671936035,14.001999855041504,46.91101837158203,539.562744140625,26.983999252319336,-2.864000082015991,29.847999572753906,18.124000549316406,6.410666465759277,19.122665405273438,5.815999984741211,267,40,7,46.219505310058594,110,31,104,33,17265.416015625,0.695552408695221,3.3409523963928223,1601.43994140625,0.4692481458187103,0.8617001175880432,5.8016581535339355
46,Lser,Tres Esquinas,-32.16669444444444,-68.92925000000001,982,"c(-68.92925, -32.1666944444444)",12.421333312988281,14.026000022888184,47.09239959716797,536.11883544921875,26.823999404907227,-2.9600000381469727,29.784000396728516,17.977333068847656,6.328666687011719,18.957332611083984,5.737333297729492,262,39,7,46.078521728515625,108,31,103,33,17332.833984375,0.68913334608078,3.374666690826416,1632.52001953125,0.49787506461143494,0.9490770697593689,5.028737545013428
47,Lser,Chilecito,-32.11097222222222,-68.92469444444446,1010,"c(-68.9246944444445, -32.1109722222222)",12.732500076293945,14.107000350952148,47.31987380981445,540.5885009765625,27.13599967956543,-2.6760001182556152,29.812000274658203,18.32200050354004,6.568000316619873,19.303333282470703,5.984000205993652,250,40,6,51.36879348754883,108,26,104,27,17386.916015625,0.7050285339355469,3.330380916595459,1582.56005859375,0.5060184001922607,0.8977094292640686,2.9630649089813232
48,Lser,Pereditas,-32.07736111111112,-68.91605555555556,1036,"c(-68.9160555555556, -32.0773611111111)",13.285500526428223,14.363666534423828,46.976932525634766,556.67181396484375,28.027999877929688,-2.5480000972747803,30.576000213623047,19.002666473388672,6.888000011444092,20.02199935913086,6.311333179473877,249,41,6,53.979618072509766,111,26,106,26,17537.583984375,0.734247624874115,3.2525713443756104,1479.8800048828125,0.31859615445137024,0.8185961246490479,2.338040351867676
49,Lser,past La Consulta,-32.275305555555555,-68.85744444444444,1033,"c(-68.8574444444444, -32.2753055555556)",15.741999626159668,14.313333511352539,46.70233917236328,601.14447021484375,30.492000579833984,-0.15600000321865082,30.648000717163086,21.808666229248047,8.173333168029785,22.94933319091797,8.173333168029785,243,45,6,60.73472595214844,116,23,111,23,17619.416015625,0.8626190423965454,2.830380916595459,1011.8800048828125,0.4691386818885803,0.9524089694023132,3.0136728286743164
50,Lser,past Campos de los Andes,-32.321555555555555,-68.83255555555554,996,"c(-68.8325555555555, -32.3215555555556)",16.8348331451416,14.696333885192871,46.61359405517578,619.51123046875,32.02000045776367,0.492000013589859,31.527999877929688,23.04866600036621,9.010666847229004,24.21466636657715,9.010666847229004,242,48,6,67.05071258544922,122,21,117,21,17563.916015625,0.9261714220046997,2.675619125366211,804.4000244140625,0.4565490484237671,0.9525455236434937,2.27909779548645
51,Lvir,outside Uspallata I.,-31.446583333333333,-68.66555555555556,1944,"c(-68.6655555555556, -31.4465833333333)",16.80933380126953,13.965332984924316,45.24797058105469,622.37921142578125,31.444000244140625,0.5799999833106995,30.86400032043457,23.115999221801758,8.88800048828125,24.145999908447266,8.88800048828125,225,47,2,81.7322769165039,122,9,122,9,19754.916015625,0.937171459197998,2.9126667976379395,827.4000244140625,0.33763840794563293,0.3499927520751953,2.068692445755005
52,"Lser, Lvir",outside Uspallata II.,-31.48436111111111,-68.65208333333334,2032,"c(-68.6520833333333, -31.4843611111111)",16.864999771118164,13.803333282470703,44.699913024902344,622.698974609375,31.488000869750977,0.6079999804496765,30.880001068115234,23.17799949645996,8.931333541870117,24.197999954223633,8.931333541870117,234,50,3,81.69159698486328,127,10,127,10,19164.583984375,0.941009521484375,2.8986666202545166,808.3599853515625,0.4352899491786957,0.365940660238266,2.8079864978790283
53,Lser,out Barrreal,-30.384694444444442,-68.53894444444444,1631,"c(-68.5389444444444, -30.3846944444444)",15.753000259399414,15.02400016784668,50.19377136230469,550.994873046875,30.447999954223633,0.5160000324249268,29.93199920654297,21.36400032043457,9.2839994430542,22.336000442504883,8.832666397094727,158,37,1,87.69245147705078,93,7,91,9,19761.75,0.945895254611969,3.066190481185913,1163.199951171875,0.25793614983558655,0.3582821488380432,2.2263095378875732
54,Lser,near Media Aqua,-31.962138888888887,-67.55216666666666,551,"c(-67.5521666666667, -31.9621388888889)",19.198999404907227,15.373332977294922,46.659385681152344,646.8707275390625,34.827999114990234,1.8799999952316284,32.947998046875,26.71666717529297,10.880666732788086,26.71666717529297,10.880666732788086,365,80,7,82.50736236572266,204,26,204,26,16549.666015625,1.0752952098846436,3.240285634994507,526.760009765625,0.19869251549243927,0.5167238116264343,0.10577604919672012
55,Lser,San Martin I.,-32.93033333333333,-67.51822222222222,655,"c(-67.5182222222222, -32.9303333333333)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56,Lser,San Martin II.,-32.90680555555555,-67.54977777777778,656,"c(-67.5497777777778, -32.9068055555556)",18.278167724609375,14.906333923339844,45.56839370727539,648.8216552734375,33.884002685546875,1.1720000505447388,32.71200180053711,25.952001571655273,9.990667343139648,25.952001571655273,9.990667343139648,288,56,5,74.61903381347656,152,19,152,19,17486.583984375,1.0451428890228271,2.8302857875823975,500.2799987792969,0.7028826475143433,0.7768417596817017,0.193078875541687
57,Lser,after San Martin,-32.88011111111111,-67.55588888888889,638,"c(-67.5558888888889, -32.8801111111111)",18.278167724609375,14.906333923339844,45.56839370727539,648.8216552734375,33.884002685546875,1.1720000505447388,32.71200180053711,25.952001571655273,9.990667343139648,25.952001571655273,9.990667343139648,288,56,5,74.61903381347656,152,19,152,19,17486.583984375,1.0451428890228271,2.8302857875823975,500.2799987792969,0.7028826475143433,0.7768417596817017,0.193078875541687
58,Lser,La Dormida,-32.65091666666667,-66.07797222222221,561,"c(-66.0779722222222, -32.6509166666667)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
59,Lser,after La Dormida,-32.627472222222224,-66.1153611111111,554,"c(-66.1153611111111, -32.6274722222222)",17.242666244506836,12.538000106811523,47.88420486450195,479.4826965332031,29.711999893188477,3.5279998779296875,26.18400001525879,22.96066665649414,11.128665924072266,22.96066665649414,11.128665924072266,539,87,13,59.603031158447266,241,43,241,43,16523.5,0.9191714525222778,4.211047649383545,1041.47998046875,0.81856369972229,0.3893408477306366,7.323240280151367
60,Lser,road 50,-32.58877777777778,-66.2485,537,"c(-66.2485, -32.5887777777778)",18.364166259765625,12.1589994430542,47.29655838012695,478.6326599121094,30.600000381469727,4.892000198364258,25.70800018310547,24.07466697692871,12.267999649047852,24.07466697692871,12.267999649047852,502,85,12,62.619651794433594,232,38,232,38,17196.166015625,0.9610571265220642,4.063333511352539,919.91998291015625,0.6690503358840942,0.37136009335517883,5.144108295440674
